City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
152,reedsburg,43.5325,-90.0026,29.97,42,0,3.6,US,1691611120
153,san jose del guaviare,2.5729,-72.6459,29.6,68,86,0.74,CO,1691610989
154,avarua,-21.2078,-159.775,23.03,73,100,6.69,CK,1691610767
155,springfield,37.2153,-93.2982,26.21,89,75,5.66,US,1691610971
156,oyama,36.3,139.8,28.1,94,1,1.88,JP,1691611121
157,mikomeseng,2.1361,10.6132,20.39,99,72,1.15,GQ,1691611121
158,turpan,42.9333,89.1667,33.46,25,31,2.21,CN,1691611121
159,villa emilio carranza,19.9667,-96.6,31.7,62,58,5.2,MX,1691611121
160,utrik,11.2278,169.8474,27.99,74,89,5.03,MH,1691610577
161,wellston,39.1234,-82.5329,27.94,52,100,2.36,US,1691610956
162,east ballina,-28.8667,153.5833,8.22,87,8,2.61,AU,1691611122
163,pierre,44.3683,-100.351,30.48,48,0,2.06,US,1691611122
164,isafjordur,66.0755,-23.124,13.02,47,0,6.17,IS,1691610770
165,aland,17.5667,76.5667,25.46,75,100,4.99,IN,1691611122
166,bredasdorp,-34.5322,20.0403,11.02,93,0,2.03,ZA,1691610758
167,claremont,34.0967,-117.7198,31.95,57,0,5.14,US,1691611122
168,zouerate,22.7187,-12.4521,38.88,15,3,4.95,MR,1691610856
169,enewetak,11.3474,162.3373,28.4,77,82,6.53,MH,1691610754
170,jinhua,29.1078,119.6547,24.88,93,69,0.53,CN,1691611122
171,lorengau,-2.0226,147.2712,27.48,77,100,5.31,PG,1691611123
172,longyearbyen,78.2186,15.6401,10.91,54,0,0.51,SJ,1691610760
173,siquirres,10.0975,-83.5066,29.72,72,96,1.86,CR,1691611123
174,hasaki,35.7333,140.8333,26.28,85,32,4.5,JP,1691610782
175,altai,46.3722,96.2583,14.4,52,0,2.22,MN,1691610967
176,pokrovsk,48.282,37.1758,20.69,52,49,5.39,UA,1691611123
177,chernyshevskiy,63.0128,112.4714,14.92,95,67,0.8,RU,1691610804
178,fale old settlement,-9.3852,-171.2468,28.38,78,11,6.68,TK,1691610610
179,athens,37.9795,23.7162,27.31,38,20,4.02,GR,1691611123
180,anadyr,64.75,177.4833,9.28,81,75,4.0,RU,1691610598
181,olinda,-8.0089,-34.8553,26.85,65,40,6.69,BR,1691611124
182,puerto aysen,-45.4,-72.7,8.02,100,100,0.0,CL,1691611124
